"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"PS1[433,8,2]",0.131,0.027,0.085,0.113,0.127,0.145,0.195,1.019,170
"PS1[434,8,2]",0.124,0.03,0.079,0.106,0.122,0.138,0.181,1.004,830
"PS1[435,8,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[436,8,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[437,8,2]",0.99,0.015,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[438,8,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[439,8,2]",0.907,0.254,0.103,0.99,0.99,0.99,0.99,1.243,24
"PS1[5,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[6,9,2]",0.073,0.026,0.035,0.059,0.072,0.085,0.117,1.059,43
"PS1[7,9,2]",0.961,0.152,0.168,0.99,0.99,0.99,0.99,1.346,31
"PS1[8,9,2]",0.139,0.03,0.085,0.118,0.137,0.156,0.204,1.032,110
"PS1[9,9,2]",0.924,0.236,0.074,0.99,0.99,0.99,0.99,1.446,14
"PS1[10,9,2]",0.988,0.039,0.99,0.99,0.99,0.99,0.99,1.154,1200
"PS1[11,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[12,9,2]",0.121,0.026,0.077,0.104,0.118,0.138,0.179,1.093,33
"PS1[13,9,2]",0.152,0.082,0.091,0.123,0.142,0.163,0.233,1.024,120
"PS1[14,9,2]",0.168,0.103,0.103,0.132,0.157,0.177,0.241,1.161,44
"PS1[15,9,2]",0.989,0.022,0.99,0.99,0.99,0.99,0.99,1.105,3000
"PS1[16,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[17,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[18,9,2]",0.795,0.358,0.107,0.99,0.99,0.99,0.99,1.168,20
"PS1[19,9,2]",0.09,0.021,0.051,0.076,0.089,0.103,0.14,1.018,190
"PS1[20,9,2]",0.142,0.033,0.085,0.118,0.141,0.163,0.21,1.079,39
"PS1[21,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[22,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[23,9,2]",0.141,0.047,0.083,0.12,0.139,0.156,0.198,1.036,87
"PS1[24,9,2]",0.123,0.035,0.075,0.104,0.121,0.14,0.183,1.022,100
"PS1[25,9,2]",0.99,0.016,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[26,9,2]",0.905,0.257,0.107,0.99,0.99,0.99,0.99,1.198,27
"PS1[27,9,2]",0.658,0.429,0.067,0.119,0.99,0.99,0.99,1.046,55
"PS1[28,9,2]",0.045,0.015,0.018,0.034,0.044,0.054,0.078,1.161,19
"PS1[29,9,2]",0.818,0.333,0.137,0.99,0.99,0.99,0.99,1.237,15
"PS1[30,9,2]",0.089,0.02,0.054,0.075,0.087,0.102,0.133,1.087,30
"PS1[32,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[33,9,2]",0.976,0.104,0.99,0.99,0.99,0.99,0.99,1.164,130
"PS1[34,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[35,9,2]",0.071,0.016,0.04,0.061,0.071,0.08,0.107,1.03,84
"PS1[36,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[37,9,2]",0.077,0.024,0.037,0.06,0.075,0.093,0.129,1.215,14
"PS1[38,9,2]",0.263,0.283,0.097,0.134,0.159,0.191,0.99,1.466,10
"PS1[39,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[40,9,2]",0.959,0.16,0.172,0.99,0.99,0.99,0.99,1.114,100
"PS1[43,9,2]",0.957,0.163,0.145,0.99,0.99,0.99,0.99,1.347,28
"PS1[44,9,2]",0.081,0.018,0.048,0.069,0.08,0.092,0.12,1.078,37
"PS1[45,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[46,9,2]",0.99,0.017,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[47,9,2]",0.988,0.04,0.99,0.99,0.99,0.99,0.99,1.294,500
"PS1[48,9,2]",0.088,0.053,0.053,0.072,0.085,0.098,0.123,1.119,27
"PS1[49,9,2]",0.098,0.032,0.061,0.081,0.095,0.11,0.147,1.071,34
"PS1[50,9,2]",0.151,0.05,0.095,0.13,0.147,0.167,0.22,1.053,77
"PS1[51,9,2]",0.061,0.018,0.031,0.048,0.059,0.073,0.101,1.101,26
"PS1[52,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[53,9,2]",0.989,0.034,0.99,0.99,0.99,0.99,0.99,1.057,3000
"PS1[54,9,2]",0.142,0.251,0.037,0.056,0.068,0.085,0.99,1.348,13
"PS1[55,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[56,9,2]",0.012,0.007,0.003,0.007,0.01,0.016,0.027,1.17,16
"PS1[57,9,2]",0.112,0.026,0.069,0.095,0.111,0.128,0.17,1.032,79
"PS1[58,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[59,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[60,9,2]",0.99,0.016,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[61,9,2]",0.295,0.401,0.035,0.055,0.071,0.129,0.99,1.725,6
"PS1[62,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[64,9,2]",0.901,0.255,0.146,0.99,0.99,0.99,0.99,1.256,19
"PS1[65,9,2]",0.14,0.153,0.069,0.096,0.111,0.132,0.99,1.234,30
"PS1[66,9,2]",0.23,0.043,0.161,0.199,0.225,0.255,0.333,1.073,35
"PS1[67,9,2]",0.092,0.022,0.053,0.077,0.09,0.106,0.141,1.064,39
"PS1[68,9,2]",0.258,0.317,0.079,0.11,0.125,0.151,0.99,1.498,9
"PS1[70,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[71,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[72,9,2]",0.156,0.037,0.093,0.129,0.153,0.18,0.234,1.017,3000
"PS1[73,9,2]",0.987,0.05,0.99,0.99,0.99,0.99,0.99,1.24,370
"PS1[74,9,2]",0.133,0.12,0.07,0.099,0.114,0.136,0.194,1.109,190
"PS1[75,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[76,9,2]",0.053,0.016,0.026,0.042,0.052,0.064,0.087,1.045,74
"PS1[77,9,2]",0.362,0.446,0.023,0.041,0.055,0.99,0.99,10.051,3
"PS1[78,9,2]",0.587,0.43,0.085,0.127,0.99,0.99,0.99,2.303,4
"PS1[79,9,2]",0.941,0.201,0.108,0.99,0.99,0.99,0.99,1.114,75
"PS1[80,9,2]",0.978,0.1,0.99,0.99,0.99,0.99,0.99,1.103,270
"PS1[81,9,2]",0.983,0.073,0.99,0.99,0.99,0.99,0.99,1.304,130
"PS1[82,9,2]",0.051,0.015,0.027,0.04,0.049,0.061,0.085,1.064,38
"PS1[83,9,2]",0.969,0.132,0.99,0.99,0.99,0.99,0.99,1.136,120
"PS1[84,9,2]",0.102,0.092,0.052,0.077,0.092,0.108,0.142,1.107,230
"PS1[85,9,2]",0.974,0.118,0.99,0.99,0.99,0.99,0.99,1.324,54
"PS1[86,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[87,9,2]",0.841,0.312,0.142,0.99,0.99,0.99,0.99,1.979,6
"PS1[88,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[89,9,2]",0.055,0.014,0.029,0.046,0.055,0.064,0.085,1.036,92
"PS1[90,9,2]",0.195,0.048,0.116,0.16,0.189,0.225,0.302,1.062,38
"PS1[91,9,2]",0.117,0.024,0.076,0.1,0.116,0.132,0.174,1.006,710
"PS1[92,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[93,9,2]",0.152,0.029,0.099,0.132,0.15,0.169,0.214,1.006,370
"PS1[94,9,2]",0.096,0.022,0.055,0.081,0.095,0.11,0.142,1.099,27
"PS1[95,9,2]",0.852,0.324,0.072,0.99,0.99,0.99,0.99,1.019,190
"PS1[96,9,2]",0.077,0.019,0.043,0.064,0.076,0.09,0.119,1.063,36
"PS1[97,9,2]",0.18,0.043,0.122,0.154,0.175,0.2,0.266,1.061,38
"PS1[98,9,2]",0.961,0.156,0.134,0.99,0.99,0.99,0.99,1.118,120
"PS1[99,9,2]",0.99,0.016,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[100,9,2]",0.23,0.051,0.153,0.195,0.224,0.259,0.338,1.025,120
"PS1[101,9,2]",0.122,0.027,0.075,0.104,0.119,0.137,0.182,1.026,130
"PS1[103,9,2]",0.182,0.076,0.108,0.149,0.175,0.201,0.271,1.015,530
"PS1[104,9,2]",0.99,0.014,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[105,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[106,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[107,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[108,9,2]",0.119,0.026,0.071,0.102,0.118,0.136,0.175,1.007,380
"PS1[109,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[110,9,2]",0.385,0.42,0.062,0.085,0.107,0.99,0.99,1.451,8
"PS1[111,9,2]",0.126,0.028,0.077,0.106,0.124,0.142,0.188,1.026,170
"PS1[112,9,2]",0.163,0.035,0.113,0.142,0.159,0.182,0.234,1.012,170
"PS1[113,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[114,9,2]",0.989,0.026,0.99,0.99,0.99,0.99,0.99,1.292,1000
"PS1[115,9,2]",0.99,0.016,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[116,9,2]",0.27,0.33,0.074,0.107,0.125,0.151,0.99,1.023,110
"PS1[117,9,2]",0.026,0.01,0.01,0.019,0.025,0.031,0.048,1.097,27
"PS1[118,9,2]",0.076,0.018,0.043,0.063,0.075,0.087,0.115,1.086,28
"PS1[119,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[120,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[121,9,2]",0.138,0.029,0.089,0.119,0.136,0.155,0.201,1.013,180
"PS1[122,9,2]",0.922,0.238,0.081,0.99,0.99,0.99,0.99,1.135,49
"PS1[123,9,2]",0.843,0.317,0.124,0.99,0.99,0.99,0.99,1.016,210
"PS1[124,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[125,9,2]",0.059,0.017,0.027,0.048,0.059,0.07,0.095,1.262,13
"PS1[126,9,2]",0.99,0.016,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[127,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[128,9,2]",0.654,0.435,0.065,0.099,0.99,0.99,0.99,4.546,3
"PS1[129,9,2]",0.988,0.04,0.99,0.99,0.99,0.99,0.99,1.237,770
"PS1[130,9,2]",0.137,0.044,0.077,0.115,0.134,0.156,0.201,1.047,76
"PS1[131,9,2]",0.066,0.019,0.03,0.051,0.065,0.078,0.105,1.051,82
"PS1[132,9,2]",0.288,0.309,0.103,0.135,0.158,0.196,0.99,1.161,23
"PS1[133,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[134,9,2]",0.989,0.02,0.99,0.99,0.99,0.99,0.99,1.162,3000
"PS1[135,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[136,9,2]",0.061,0.017,0.031,0.05,0.06,0.071,0.097,1.085,36
"PS1[137,9,2]",0.082,0.125,0.032,0.05,0.065,0.079,0.118,1.158,25
"PS1[138,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[139,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[140,9,2]",0.978,0.102,0.99,0.99,0.99,0.99,0.99,1.146,180
"PS1[141,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[142,9,2]",0.863,0.31,0.084,0.99,0.99,0.99,0.99,1.103,41
"PS1[143,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[144,9,2]",0.989,0.031,0.99,0.99,0.99,0.99,0.99,1.109,3000
"PS1[145,9,2]",0.091,0.026,0.046,0.073,0.089,0.108,0.146,1.069,37
"PS1[146,9,2]",0.975,0.113,0.99,0.99,0.99,0.99,0.99,1.223,97
"PS1[147,9,2]",0.92,0.235,0.118,0.99,0.99,0.99,0.99,1.107,58
"PS1[148,9,2]",0.871,0.297,0.109,0.99,0.99,0.99,0.99,1.675,8
"PS1[149,9,2]",0.19,0.248,0.071,0.097,0.116,0.136,0.99,1.445,12
"PS1[150,9,2]",0.391,0.382,0.095,0.133,0.158,0.99,0.99,2.849,4
"PS1[151,9,2]",0.096,0.023,0.054,0.08,0.095,0.111,0.146,1.123,23
"PS1[159,9,2]",0.07,0.017,0.038,0.058,0.069,0.081,0.104,1.108,26
"PS1[161,9,2]",0.989,0.022,0.99,0.99,0.99,0.99,0.99,1.108,3000
"PS1[162,9,2]",0.934,0.206,0.161,0.99,0.99,0.99,0.99,1.018,370
"PS1[163,9,2]",0.99,0.016,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[164,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[165,9,2]",0.091,0.112,0.047,0.066,0.077,0.088,0.122,1.194,42
"PS1[166,9,2]",0.727,0.406,0.07,0.123,0.99,0.99,0.99,1.03,86
"PS1[167,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[168,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[169,9,2]",0.399,0.377,0.106,0.146,0.177,0.99,0.99,1.513,8
"PS1[170,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[171,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[172,9,2]",0.975,0.114,0.99,0.99,0.99,0.99,0.99,1.262,77
"PS1[173,9,2]",0.989,0.023,0.99,0.99,0.99,0.99,0.99,1.116,3000
"PS1[174,9,2]",0.049,0.013,0.027,0.04,0.048,0.057,0.077,1.034,69
"PS1[175,9,2]",0.974,0.117,0.99,0.99,0.99,0.99,0.99,1.113,210
"PS1[176,9,2]",0.99,0.016,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[177,9,2]",0.989,0.024,0.99,0.99,0.99,0.99,0.99,1.291,1500
"PS1[178,9,2]",0.29,0.29,0.111,0.148,0.176,0.218,0.99,1.639,8
"PS1[179,9,2]",0.14,0.032,0.083,0.117,0.139,0.161,0.203,1.044,52
"PS1[180,9,2]",0.129,0.029,0.078,0.108,0.127,0.148,0.192,1.146,18
"PS1[181,9,2]",0.102,0.023,0.061,0.087,0.099,0.115,0.154,1.077,31
"PS1[182,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[183,9,2]",0.239,0.364,0.031,0.052,0.067,0.095,0.99,1.756,7
"PS1[185,9,2]",0.707,0.404,0.093,0.15,0.99,0.99,0.99,8.85,3
"PS1[186,9,2]",0.364,0.356,0.105,0.148,0.174,0.256,0.99,1.639,7
"PS1[187,9,2]",0.146,0.029,0.096,0.126,0.145,0.165,0.206,1.021,720
"PS1[188,9,2]",0.142,0.035,0.085,0.117,0.138,0.161,0.228,1.095,29
"PS1[189,9,2]",0.989,0.029,0.99,0.99,0.99,0.99,0.99,1.152,2700
"PS1[190,9,2]",0.989,0.035,0.99,0.99,0.99,0.99,0.99,1.293,600
"PS1[191,9,2]",0.864,0.295,0.141,0.99,0.99,0.99,0.99,1.227,19
"PS1[192,9,2]",0.136,0.029,0.085,0.115,0.136,0.156,0.193,1.102,27
"PS1[193,9,2]",0.988,0.043,0.99,0.99,0.99,0.99,0.99,1.169,1000
"PS1[195,9,2]",0.985,0.068,0.99,0.99,0.99,0.99,0.99,1.274,180
"PS1[196,9,2]",0.987,0.047,0.99,0.99,0.99,0.99,0.99,1.044,3000
"PS1[197,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[198,9,2]",0.112,0.024,0.071,0.095,0.111,0.126,0.165,1.028,95
"PS1[199,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[200,9,2]",0.167,0.032,0.111,0.146,0.165,0.187,0.238,1.034,99
"PS1[201,9,2]",0.65,0.432,0.072,0.11,0.99,0.99,0.99,1.316,10
"PS1[202,9,2]",0.088,0.021,0.05,0.074,0.086,0.101,0.134,1.023,110
"PS1[203,9,2]",0.987,0.052,0.99,0.99,0.99,0.99,0.99,1.065,1800
"PS1[204,9,2]",0.106,0.026,0.062,0.088,0.104,0.123,0.16,1.015,210
"PS1[205,9,2]",0.98,0.09,0.99,0.99,0.99,0.99,0.99,1.265,110
"PS1[206,9,2]",0.138,0.051,0.086,0.116,0.133,0.154,0.197,1.016,170
"PS1[207,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[208,9,2]",0.988,0.038,0.99,0.99,0.99,0.99,0.99,1.042,3000
"PS1[209,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[210,9,2]",0.13,0.046,0.082,0.112,0.126,0.143,0.182,1.064,40
"PS1[211,9,2]",0.989,0.029,0.99,0.99,0.99,0.99,0.99,1.234,1300
"PS1[212,9,2]",0.987,0.054,0.99,0.99,0.99,0.99,0.99,1.257,320
"PS1[213,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[214,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[215,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[216,9,2]",0.909,0.257,0.075,0.99,0.99,0.99,0.99,1.502,11
"PS1[217,9,2]",0.105,0.056,0.059,0.087,0.101,0.117,0.151,1.059,43
"PS1[219,9,2]",0.113,0.023,0.072,0.097,0.111,0.128,0.161,1.01,340
"PS1[220,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[221,9,2]",0.103,0.023,0.063,0.087,0.101,0.118,0.153,1.126,20
"PS1[222,9,2]",0.986,0.06,0.99,0.99,0.99,0.99,0.99,1.219,340
"PS1[223,9,2]",0.984,0.071,0.99,0.99,0.99,0.99,0.99,1.201,270
"PS1[224,9,2]",0.066,0.018,0.035,0.053,0.065,0.077,0.103,1.018,160
"PS1[225,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[226,9,2]",0.06,0.016,0.032,0.048,0.059,0.07,0.093,1.069,40
"PS1[227,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[228,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[229,9,2]",0.185,0.149,0.098,0.129,0.156,0.187,0.99,1.033,230
"PS1[230,9,2]",0.129,0.031,0.082,0.109,0.127,0.147,0.185,1.048,57
"PS1[231,9,2]",0.215,0.066,0.145,0.18,0.206,0.238,0.308,1.036,260
"PS1[232,9,2]",0.395,0.421,0.059,0.088,0.114,0.99,0.99,9.775,3
"PS1[233,9,2]",0.041,0.013,0.02,0.031,0.039,0.048,0.068,1.061,40
"PS1[235,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[236,9,2]",0.077,0.019,0.044,0.063,0.076,0.09,0.115,1.035,82
"PS1[237,9,2]",0.092,0.02,0.054,0.077,0.091,0.105,0.132,1.087,28
"PS1[238,9,2]",0.981,0.087,0.99,0.99,0.99,0.99,0.99,1.079,580
"PS1[239,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[240,9,2]",0.106,0.025,0.055,0.089,0.107,0.124,0.154,1.095,28
"PS1[241,9,2]",0.136,0.033,0.08,0.112,0.134,0.157,0.206,1.036,81
"PS1[242,9,2]",0.868,0.293,0.127,0.99,0.99,0.99,0.99,1.52,9
"PS1[243,9,2]",0.988,0.041,0.99,0.99,0.99,0.99,0.99,1.294,430
"PS1[244,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[245,9,2]",0.202,0.229,0.089,0.116,0.135,0.161,0.99,1.036,190
"PS1[246,9,2]",0.983,0.075,0.99,0.99,0.99,0.99,0.99,1.267,170
"PS1[247,9,2]",0.99,0.015,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[248,9,2]",0.155,0.032,0.105,0.13,0.151,0.177,0.223,1.012,190
"PS1[249,9,2]",0.99,0.014,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[250,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[252,9,2]",0.185,0.036,0.128,0.161,0.181,0.205,0.27,1.003,3000
"PS1[253,9,2]",0.989,0.023,0.99,0.99,0.99,0.99,0.99,1.291,1500
"PS1[254,9,2]",0.603,0.106,0.405,0.525,0.6,0.679,0.814,1.042,55
"PS1[255,9,2]",0.986,0.058,0.99,0.99,0.99,0.99,0.99,1.272,240
"PS1[256,9,2]",0.144,0.035,0.084,0.122,0.14,0.164,0.23,1.182,18
"PS1[257,9,2]",0.075,0.019,0.041,0.061,0.073,0.087,0.114,1.156,18
"PS1[258,9,2]",0.965,0.147,0.146,0.99,0.99,0.99,0.99,1.225,64
"PS1[259,9,2]",0.133,0.028,0.083,0.114,0.133,0.15,0.194,1.023,420
"PS1[260,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[261,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[262,9,2]",0.259,0.317,0.077,0.108,0.126,0.152,0.99,1.181,20
"PS1[263,9,2]",0.99,0.015,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[264,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[265,9,2]",0.19,0.038,0.13,0.163,0.184,0.211,0.285,1.048,50
"PS1[266,9,2]",0.982,0.081,0.99,0.99,0.99,0.99,0.99,1.057,1200
"PS1[267,9,2]",0.151,0.04,0.09,0.123,0.143,0.176,0.246,1.053,46
"PS1[268,9,2]",0.197,0.309,0.044,0.065,0.08,0.097,0.99,1.025,160
"PS1[269,9,2]",0.147,0.032,0.096,0.125,0.144,0.165,0.224,1.031,74
"PS1[271,9,2]",0.99,0.016,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[272,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[273,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[274,9,2]",0.975,0.113,0.99,0.99,0.99,0.99,0.99,1.32,60
"PS1[275,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[276,9,2]",0.985,0.066,0.99,0.99,0.99,0.99,0.99,1.036,2100
"PS1[277,9,2]",0.386,0.338,0.14,0.177,0.208,0.296,0.99,1.438,9
"PS1[278,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[279,9,2]",0.079,0.02,0.043,0.064,0.076,0.093,0.119,1.155,18
"PS1[280,9,2]",0.135,0.029,0.087,0.115,0.132,0.154,0.199,1.023,580
"PS1[281,9,2]",0.285,0.229,0.15,0.185,0.213,0.252,0.99,1.237,20
"PS1[282,9,2]",0.097,0.027,0.055,0.078,0.094,0.113,0.159,1.043,54
"PS1[283,9,2]",0.375,0.384,0.089,0.123,0.15,0.99,0.99,3.344,4
"PS1[284,9,2]",0.101,0.061,0.059,0.08,0.096,0.113,0.148,1.062,40
"PS1[285,9,2]",0.989,0.021,0.99,0.99,0.99,0.99,0.99,1.291,1500
"PS1[286,9,2]",0.978,0.102,0.99,0.99,0.99,0.99,0.99,1.299,75
"PS1[287,9,2]",0.988,0.044,0.99,0.99,0.99,0.99,0.99,1.223,570
"PS1[288,9,2]",0.989,0.027,0.99,0.99,0.99,0.99,0.99,1.292,1000
"PS1[289,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[290,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[291,9,2]",0.164,0.033,0.111,0.14,0.16,0.183,0.243,1.09,29
"PS1[292,9,2]",0.969,0.133,0.99,0.99,0.99,0.99,0.99,1.116,160
"PS1[293,9,2]",0.088,0.022,0.043,0.073,0.087,0.102,0.131,1.339,10
"PS1[294,9,2]",0.99,0.015,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[295,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[296,9,2]",0.981,0.088,0.99,0.99,0.99,0.99,0.99,1.05,870
"PS1[297,9,2]",0.114,0.039,0.064,0.095,0.111,0.13,0.171,1.04,59
"PS1[298,9,2]",0.627,0.431,0.074,0.122,0.99,0.99,0.99,1.057,44
"PS1[299,9,2]",0.068,0.017,0.039,0.056,0.067,0.079,0.104,1.167,16
"PS1[300,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[301,9,2]",0.089,0.037,0.046,0.073,0.087,0.103,0.137,1.191,15
"PS1[302,9,2]",0.981,0.09,0.99,0.99,0.99,0.99,0.99,1.183,190
"PS1[303,9,2]",0.965,0.145,0.172,0.99,0.99,0.99,0.99,1.034,410
"PS1[305,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[314,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[315,9,2]",0.546,0.44,0.072,0.106,0.193,0.99,0.99,1.116,22
"PS1[318,9,2]",0.988,0.044,0.99,0.99,0.99,0.99,0.99,1.295,380
"PS1[319,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[320,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[321,9,2]",0.984,0.069,0.99,0.99,0.99,0.99,0.99,1.107,570
"PS1[322,9,2]",0.159,0.244,0.048,0.074,0.09,0.106,0.99,1.153,50
"PS1[323,9,2]",0.895,0.266,0.118,0.99,0.99,0.99,0.99,1.183,31
"PS1[324,9,2]",0.329,0.07,0.208,0.282,0.324,0.369,0.483,1.043,63
"PS1[325,9,2]",0.141,0.189,0.059,0.085,0.101,0.117,0.99,1.165,50
"PS1[326,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[327,9,2]",0.99,0.017,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[328,9,2]",0.962,0.155,0.13,0.99,0.99,0.99,0.99,1.268,45
"PS1[329,9,2]",0.081,0.031,0.047,0.067,0.079,0.092,0.126,1.027,88
"PS1[330,9,2]",0.865,0.302,0.109,0.99,0.99,0.99,0.99,1.624,8
"PS1[331,9,2]",0.005,0.004,0.001,0.003,0.004,0.007,0.014,1.163,18
"PS1[332,9,2]",0.097,0.024,0.056,0.08,0.096,0.112,0.145,1.083,32
"PS1[333,9,2]",0.16,0.183,0.075,0.104,0.12,0.138,0.99,1.053,97
"PS1[334,9,2]",0.99,0,0.99,0.99,0.99,0.99,0.99,1,1
"PS1[335,9,2]",0.99,0.016,0.99,0.99,0.99,0.99,0.99,1.291,3000
"PS1[336,9,2]",0.307,0.303,0.109,0.152,0.181,0.224,0.99,1.821,6
"PS1[337,9,2]",0.208,0.048,0.14,0.179,0.203,0.231,0.305,1.009,270
