"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"PS1[354,11,1]",0.108,0.277,0.01,0.01,0.01,0.01,0.908,1.026,190
"PS1[355,11,1]",0.901,0.084,0.86,0.895,0.909,0.923,0.946,1.163,240
"PS1[357,11,1]",0.015,0.066,0.01,0.01,0.01,0.01,0.01,1.3,180
"PS1[358,11,1]",0.856,0.026,0.802,0.84,0.858,0.873,0.906,1.045,55
"PS1[359,11,1]",0.892,0.025,0.835,0.879,0.895,0.909,0.934,1.113,25
"PS1[360,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[362,11,1]",0.028,0.123,0.01,0.01,0.01,0.01,0.01,1.252,70
"PS1[363,11,1]",0.76,0.249,0.01,0.811,0.842,0.863,0.898,1.469,12
"PS1[364,11,1]",0.877,0.025,0.82,0.862,0.879,0.894,0.924,1.13,25
"PS1[365,11,1]",0.698,0.29,0.01,0.779,0.816,0.838,0.874,1.261,16
"PS1[366,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[367,11,1]",0.83,0.033,0.761,0.809,0.83,0.853,0.89,1.016,330
"PS1[368,11,1]",0.908,0.026,0.852,0.892,0.911,0.926,0.95,1.061,38
"PS1[369,11,1]",0.01,0.015,0.01,0.01,0.01,0.01,0.01,1.291,3000
"PS1[370,11,1]",0.536,0.352,0.01,0.01,0.746,0.789,0.837,1.146,20
"PS1[371,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[372,11,1]",0.896,0.028,0.843,0.883,0.899,0.913,0.937,1.266,280
"PS1[373,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[374,11,1]",0.879,0.027,0.816,0.864,0.881,0.896,0.925,1.01,440
"PS1[375,11,1]",0.75,0.049,0.639,0.718,0.758,0.786,0.829,1.006,370
"PS1[376,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[377,11,1]",0.249,0.384,0.01,0.01,0.01,0.824,0.904,1.342,10
"PS1[378,11,1]",0.045,0.173,0.01,0.01,0.01,0.01,0.902,1.165,68
"PS1[379,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[380,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[381,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[382,11,1]",0.76,0.288,0.01,0.841,0.866,0.885,0.92,1.18,25
"PS1[383,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[384,11,1]",0.964,0.012,0.937,0.956,0.965,0.972,0.984,1.164,16
"PS1[385,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[392,11,1]",0.01,0,0.01,0.01,0.01,0.01,0.01,1,1
"PS1[396,11,1]",0.88,0.026,0.827,0.862,0.881,0.898,0.928,1.008,260
"PS1[397,11,1]",0.879,0.028,0.815,0.863,0.882,0.899,0.927,1.189,15
